Block,Rows_num,L_c,R,G,t_G,Repetition,F_max,Impulse,u_01,u_12,u_23,WG0_max,WG1_max,WG2_max,WG3_max,Ref_WG0_max,Ref_WG1_max,Ref_WG2_max,Ref_WG3_max,Ref_u_01,Ref_u_12,Ref_u_23,q_max_0,V_0,p_dot_max_0,p_0,Deflection
A,2,0.453,400,300,1,2,160.2860553,563.0091419,2.594339623,1.478494624,1.709401709,0.075887162,0.120547297,0.062353281,0.04323743,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
A,2,0.453,400,300,2,1,196.2945564,998.9516142,2.582159624,1.598837209,2.409638554,0.115182476,0.150873976,0.104736805,0.062105521,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,2,0.453,400,300,2,2,175.0752612,819.9079507,2.558139535,1.558073654,2.325581395,0.114601048,0.147548881,0.105438919,0.067470891,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,2,0.453,800,100,1,1,221.0504009,503.7039927,2.972972973,1.815181518,1.5625,0.079212117,0.104742935,0.058502415,0.041468317,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Transition
A,2,0.453,800,100,1,2,211.4052667,500.0262628,2.989130435,1.851851852,1.709401709,0.08324921,0.097943689,0.060730051,0.039274797,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Transition
A,2,0.453,800,100,2,1,206.5826996,708.1801949,2.972972973,1.797385621,1.98019802,0.095201581,0.117132496,0.109565712,0.06241382,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,2,0.453,800,100,2,2,202.7246459,731.6174692,3.107344633,1.815181518,2,0.097626588,0.120944276,0.108022628,0.061138824,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,2,0.453,800,200,1,1,313.9651938,1023.156255,3.548387097,2.466367713,2.857142857,0.108621892,0.11255488,0.089685503,0.0575064,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Submerged
A,2,0.453,800,200,1,2,335.184489,1087.891245,3.481012658,2.391304348,2.739726027,0.107510509,0.122838719,0.092765487,0.062203431,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Submerged
A,3,0.6795,400,200,2,1,202.4031414,1087.572747,2.5,1.258581236,2.127659574,0.092663458,0.168015715,0.064989446,0.048067299,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Transition
A,3,0.6795,400,200,2,2,207.9490936,963.8866725,2.455357143,1.282051282,2.06185567,0.093321566,0.171619326,0.089069563,0.047244986,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Transition
A,3,0.6795,400,300,1,1,155.9296698,400.3173489,2.477477477,1.203501094,1.418439716,0.073208324,0.127734735,0.03894943,0.031711649,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
A,3,0.6795,400,300,1,2,139.8544461,389.4822303,2.534562212,1.195652174,1.369863014,0.102869136,0.133287248,0.037554915,0.034230362,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
A,3,0.6795,400,300,2,1,195.7962245,842.8616742,2.511415525,1.288056206,2.083333333,0.113839145,0.164164247,0.094741559,0.054960535,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
A,3,0.6795,400,300,2,2,215.7295018,810.6489835,2.477477477,1.371571072,2.469135802,0.113920596,0.160800392,0.102283646,0.061472968,0.112494231,0.096802215,0.083947383,0.068870757,2.607346984,2.53833525,2.693260547,0.199689578,0.583176277,456.9679174,1101.130932,Transition
